Label,screen_x,screen_y,world_x,world_y,world_z
1,206,675,20,20,0
2,270,678,480,20,0
3,628,688,3050,20,0
4,986,694,5620,20,0
5,1051,695,6080,20,0
6,254,587,20,780,0
7,310,589,480,780,0
8,630,596,3050,780,0
9,1008,604,6080,780,0
10,400,322,20,4700,0
11,437,325,480,4700,0
12,638,332,3050,4700,0
13,837,333,5620,4700,0
14,874,335,6080,4700,0
15,439,251,20,6700,0
16,423,160,20,6700,1555
17,861,173,6080,6700,1555
18,840,263,6080,6700,0
19,468,200,20,8700,0
20,494,201,480,8700,0
21,640,207,3050,8700,0
22,786,209,5620,8700,0
23,814,209,6080,8700,0
24,507,131,20,12600,0
25,527,132,480,12600,0
26,643,136,3050,12600,0
27,758,139,5620,12600,0
28,779,139,6080,12600,0